,song_id,song_name,billboard,artists,popularity,explicit,song_type
749,7Gs3otHnZDq514kFHf0nx7,Blue Notes,"('Blue Notes', 'Meek Mill')",{'20sxb77xiYeusSH8cVdatc': 'Meek Mill'},62,True,Solo
750,7lidCG4c4lX6hIRXt0MKVA,Blessed Up,"('Blessed Up', 'Meek Mill')",{'20sxb77xiYeusSH8cVdatc': 'Meek Mill'},46,True,Solo
751,3tJ4y2Zqx6gM9xOAuFfsSF,Cool Girl,"('Cool Girl', 'Tove Lo')",{'4NHQUGzhtTLFvgF5SZesLK': 'Tove Lo'},67,True,Solo
752,2meEiZKWkiN28gITzFwQo5,Into You,"('Into You', 'Ariana Grande')",{'66CXWjxzNUsdJxJ2JdwvnR': 'Ariana Grande'},78,False,Solo
753,3O8NlPh2LByMU9lSRSHedm,Controlla,"('Controlla', 'Drake')",{'3TVXtAsR1Inumwj472S9r4': 'Drake'},72,True,Solo
754,6Az2Ll2CPnWYQ2BgiHf4Di,A-YO,"('A-YO', 'Lady Gaga')",{'1HY2Jd0NmPuamShAr6KMms': 'Lady Gaga'},58,False,Solo
755,56ZrTFkANjeAMiS14njg4E,Perfect Illusion,"('Perfect Illusion', 'Lady Gaga')",{'1HY2Jd0NmPuamShAr6KMms': 'Lady Gaga'},64,False,Solo
756,6Dwtha2FtZFoMEBh5GR2sq,CRZY,"('CRZY', 'Kehlani')",{'0cGUm45nv7Z6M6qdXYQGTX': 'Kehlani'},60,True,Solo
757,7kJlTKjNZVT26iwiDUVhRm,Blow Your Mind (Mwah),"('Blow Your Mind (Mwah)', 'Dua Lipa')",{'6M2wZ9GZgrQXHCFfjv46we': 'Dua Lipa'},68,True,Solo
758,4WtkYdCG4n80h08Ep5SmDI,I Met a Girl,"('I Met A Girl', 'William Michael Morgan')",{'03tfKFHhDoDqF73vCI3cxn': 'William Michael Morgan'},52,False,Solo
759,4pu6lPTEoBRw8mnul2XF5C,Just Like Fire,"('Just Like Fire', 'P!nk')",{'648dUUIlz7RSeg3O8CbTat': 'Midnite String Quartet'},2,False,Solo
760,4KW1lqgSr8TKrvBII0Brf8,Father Stretch My Hands Pt. 1,"('Father Stretch My Hands Pt. 1', 'Kanye West')",{'5K4W6rqBFWDnAN6FQUkS6x': 'Kanye West'},71,True,Solo
761,2wqXQjOmQ9KoBm9Ssgt4Fo,Peter Pan,"('Peter Pan', 'Kelsea Ballerini')",{'3RqBeV12Tt7A8xH3zBDDUF': 'Kelsea Ballerini'},61,False,Solo
762,5mQNY6pTeSDl2doFB7uLbE,Kids,"('Kids', 'OneRepublic')",{'5Pwc4xIPtQLFEnJriah9YJ': 'OneRepublic'},61,False,Solo
